user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
AtH2023_ERR1135363_MAG14	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rs-D84;f__Rs-D84;g__Enterousia;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rs-D84;f__Rs-D84;g__Enterousia;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	79.01	11	0.95867	N/A
AtH2023_ERR1135365_MAG01	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rs-D84;f__Rs-D84;g__Enterousia;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rs-D84;f__Rs-D84;g__Enterousia;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	79.01	11	0.95867	N/A
AtH2023_ERR1135365_MAG09	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	74.46	11	0.97805	N/A
AtH2023_ERR1135365_MAG11	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__	N/A	N/A	N/A	N/A	N/A	GCA_004560305.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp004560305	90.21	0.588	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_945873205.1, s__Limivicinus sp945873205, 95.0, 89.97, 0.571	92.51	11	0.99555	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
AtH2023_ERR1135365_MAG16	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	88.78	11	0.98124	N/A
AtH2023_ERR1135371_MAG08	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Huintestinicola;s__	N/A	N/A	N/A	N/A	N/A	GCA_028720105.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Huintestinicola;s__Huintestinicola sp028720105	89.08	0.432	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Huintestinicola;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_017829005.1, s__Huintestinicola sp017829005, 95.0, 89.13, 0.399	90.98	11	0.99535	N/A
AtH2023_ERR1135371_MAG11	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellia;o__RFP12;f__UBA1067;g__UBA1067;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellia;o__RFP12;f__UBA1067;g__UBA1067;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_016284515.1, s__UBA1067 sp016284515, 95.0, 88.35, 0.198; GCA_016296065.1, s__UBA1067 sp016296065, 95.0, 87.94, 0.199	74.29	11	0.9882	N/A
AtH2023_ERR1135371_MAG24	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	85.44	11	0.98134	N/A
AtH2023_ERR1135378_MAG15	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1532;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1532;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	95.47	11	0.93945	N/A
AtH2023_ERR1135378_MAG20	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAJUPY01;s__	N/A	N/A	N/A	N/A	N/A	GCA_900768685.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAJUPY01;s__CAJUPY01 sp900768685	86.97	0.388	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAJUPY01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	96.35	11	0.99647	N/A
AtH2023_ERR1135387_MAG14	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAJUPY01;s__	N/A	N/A	N/A	N/A	N/A	GCA_900768685.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAJUPY01;s__CAJUPY01 sp900768685	87.66	0.376	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAJUPY01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	84.03	11	0.99619	N/A
AtH2023_ERR1135387_MAG15	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1532;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1532;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	92.93	11	0.93971	N/A
AtH2023_ERR1135396_MAG09	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Minthosoma;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Minthosoma;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	85.8	11	0.95837	N/A
AtH2023_ERR1135447_MAG15	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Nanosyncoccaceae;g__Nanosyncoccus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Nanosyncoccaceae;g__Nanosyncoccus;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	62.21	11	0.94977	N/A
AtH2023_ERR3211773_MAG1	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	82.31	11	0.97511	N/A
AtH2023_ERR3211774_MAG3	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	80.92	11	0.97555	N/A
AtH2023_ERR3211794_MAG3	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	67.43	11	0.97503	N/A
AtH2023_ERR3211875_MAG4	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	69.8	11	0.97576	N/A
AtH2023_ERR3211876_MAG1	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	73.63	11	0.97556	N/A
AtH2023_ERR3211878_MAG6	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	80.86	11	0.97542	N/A
AtH2023_ERR3211879_MAG7	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	71.84	11	0.97524	N/A
AtH2023_ERR3211880_MAG2	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	81.39	11	0.97528	N/A
AtH2023_ERR3211887_MAG4	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	73.93	11	0.97549	N/A
AtH2023_ERR3211890_MAG4	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	69.1	11	0.97553	N/A
AtH2023_ERR3211897_MAG7	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	83.18	11	0.97536	N/A
AtH2023_ERR3211899_MAG6	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	76.73	11	0.98088	N/A
AtH2023_ERR3211900_MAG3	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	72.52	11	0.9753	N/A
AtH2023_ERR3211902_MAG3	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	70.35	11	0.97593	N/A
AtH2023_ERR3211905_MAG06	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	73.13	11	0.97512	N/A
AtH2023_ERR3211907_MAG4	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	75.14	11	0.97504	N/A
AtH2023_ERR3211911_MAG1	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	55.64	11	0.97429	N/A
AtH2023_ERR3211912_MAG2	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	81.75	11	0.97523	N/A
AtH2023_ERR3211917_MAG4	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	67.3	11	0.9813	N/A
AtH2023_ERR3211923_MAG3	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	68.61	11	0.97536	N/A
AtH2023_ERR3211924_MAG1	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	54.47	11	0.97598	N/A
AtH2023_ERR3211926_MAG1	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	61.81	11	0.97487	N/A
AtH2023_ERR3211929_MAG01	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	72.22	11	0.98076	Genome has more than 13.3% of markers with multiple hits
AtH2023_ERR3211933_MAG07	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	79.05	11	0.97574	N/A
AtH2023_ERR3211993_MAG6	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	86.08	11	0.97553	N/A
AtH2023_SRR11723736_MAG1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Levilactobacillus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Levilactobacillus;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	87.61	11	0.97948	N/A
AtH2023_SRR11723737_MAG1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Levilactobacillus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Levilactobacillus;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	92.69	11	0.9795	N/A
AtH2023_SRR14369170_MAG11	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_945830345.1, s__Prevotella sp945830345, 95.0, 87.28, 0.315; GCA_022771625.1, s__Prevotella sp022771625, 95.0, 86.43, 0.319; GCA_945869265.1, s__Prevotella sp945869265, 95.0, 86.24, 0.342; GCA_022775105.1, s__Prevotella sp022775105, 95.0, 85.5, 0.187	92.75	11	0.99155	N/A
AtH2023_SRR17241488_MAG36	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Feifaniaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Feifaniaceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	95.21	11	0.83222	N/A
AtH2023_SRR17241490_MAG14	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcoides;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcoides;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_003438075.1, s__Ruminococcoides sp003438075, 95.0, 84.73, 0.268; GCF_014288065.1, s__Ruminococcoides intestinalis, 95.0, 84.46, 0.244; GCA_900755995.1, s__Ruminococcoides sp900755995, 95.0, 84.36, 0.164	94.1	11	0.98605	N/A
